skills,education,ID,Category
"Compile, Photoshop, CRM, Excel, 2007 Retailer of the Year, F/X","01/2012
 
Company Name, BUSINESS DEVELOPMENT SPECIALIST/AE
Professional Summary, BUSINESS DEVELOPMENT SPECIALIST/AE
 
09/2012
 
, DIRECTOR OF MARKETING & ADVERTISING, PPC/SEO, Created Sony Pictures Entertainment's, syndication & environmental, Journalism / Marketing
 
- 
State
 
Journalism / Marketing
Skills, national & regional, Nick at Night, Closets, 01/1998
 
Company Name, Sony Pictures Entertainment's, ROO, Home Auction, Created Fred Sands University, Columbia Pictures, Environmental Enterprises, Closets By Design, Coordinated, Microsoft Office, State
 
Conceptualized, TRAX, Angels, Sand, PowerPoint, Fox Sports, 01/2004
 
Company Name, 07/2014
 
Company Name, State
 
Responsible, Google Analytics, Additional Information, Development of co-op, Created, 01/1993
 
Company Name, InDesign, NBC, Sony Pictures Entertainment, State, PageMaker",12230301,BUSINESS-DEVELOPMENT
,"Colorado State University, Organizational Leadership Human Resources, Business Administration, Budget, State
 
Finance, State
 
Business Development, Business Development, Database, Documentation, Including Accounting, Payroll, Outbound Calls, CO Master of Business Administration, Inventory Control, Loss Prevention, Satisfaction, Accounting, Sales Team, National MS Society, Receptionist, CO Master, Highlights
BUSINESS DEVELOPMENT SKILLS
Identify, Management/Marketing
Professional Affiliations
, Degree Plus Program Bachelor of Business
Administration, Company Name
 
City
 
, Inventory, Colorado State
University, Credit Card, Networking, Marketing, Progress, Maintenance, Audit, Bookkeeping, Tax Returns, Testing, Cashiering, Customer Service, Degree Plus Program
Bachelor of Business Administration, Managerial, State, State
 
Budget/Project Accountant
 
Coordinated",12377803,BUSINESS-DEVELOPMENT
"Excel, Software/ Applications","Time, Material Lifts, CERTIFICATIONS, Corel Draw
General Productivity: MS Office
Project Management Tools, Oversee, Amul Products, Business Administration, SAP MM, University of Gujarat
 
, SAP PP, Certificate - Introduction, Reliance Industries, Food Company, Linux, Mac OS, Oracle, MS Access, Outlook, Outlook Express, Operating Systems, Programming, Project Management, Python, City
Promoted, Vista, MIS, ABCD, FAQ, Product Development Coordinator, SAP Materials Management, Versatile, Product Development, Outlook Express, Automobiles, Petrochemicals, Defense, Aviation, Railways, B.B.A, Aerial Work Platforms, PowerPoint, SKU, Problem-Solving, Direct, HP, SAP, Terex and Sunag, Steel, Training - SAP Production and Planning, Microsoft Word, QuickBooks, Corel
Draw, Customer, Automobiles, Basic, Brochures, University of Pune
 
India
 
Marketing
Bachelor of Business Administration, ERP, MS Office, Ansul USA, Parts List, Terex Co.",12546838,BUSINESS-DEVELOPMENT
,,12632728,BUSINESS-DEVELOPMENT
"CRM, Ultimate Team Player"" Award, 2011","Jeep & Ram, Customer Service Professional
Superior, Home Depot, 07/2007
 
Company Name
 
City
 
, Highlights
Fluent, 05/2012
 
Company Name
 
City
 
, Superstar Selling, Int/Ext Oil Base, Lead Development, 01/2006
 
Company Name
 
City
 
, Customer Needs Assessment, CRM Systems, Current
 
Company Name
 
City
 
, Kia, New Business Development Sales, New Home Counselor
 
, Professional Contractors, Met Weekly/Monthly, Beazer University
Won, Completed, Chrysler, Hyundai, GM, Premium Plus SP Low VOC, Account Management, Business Development, Client Relations, Beazer University, ISD, Home Depot Management, Associates, Behr/Kilz, New Home Counselor, Dodge, Government Agencies, Cities, 07/2004
 
Company Name
 
City
 
, USA
 
Skills
Sales and Marketing Strategy, Trained/Developed Sales Team",12814706,BUSINESS-DEVELOPMENT
"Payroll, Purchasing, Purchasing Manager, Fundraising, Great Attitude, Illustration, Marketing Plan, Mentoring, Photoshop, Solutions, Photoshop","Inventory, Operations, American Heart Association
Make a Wish Foundation, Financial, Business Management, Cooking, Business Development
 
Company Name, Created, 01/2011
Business Management
 
Company Name, Retail Product Development
Help, Budget, Business Development, Purchasing, Financial Management, Food Safety, Biology
Professional Affiliations
Juvenile Diabetes Foundation, Food Processing",13080868,BUSINESS-DEVELOPMENT
Various CRM,"Georgia Power, Visio Financial Services, Coca-Cola, Firestone Automotive and Tire Stores, Charleston Southern University, the Rassias Foundation, Capturing New Markets, Equifax, Synovus Banks, Complaint Resolution, Budget Development and Forecasting, Account Management
Managed, Tact
 - Emphasis, the Preservation
Society of Charleston, Dale Carnegie University, Dartmouth University
 
City
 
, Cousins Properties, NAPA, Georgia Pacific, United States, Business Development, Business Development
 
, PowerPoint, Franklin, Business Development/Political Relations, ZOHO, 04/2015
 
Company Name
 
City
 
, the Georgia State Senate, Salesforce, Salespoint,, Skills
Business Development, Transworld Systems, Problem
Solving, the Georgia House of Representatives, Dartmouth University, State, Cold Calling, 01/1998
 
Company Name
 
State
 
, Critical Thinking, Leadership,Â Performance Analysis",13199813,BUSINESS-DEVELOPMENT
CRM,"Skills
Account Management, DealerSocket, DealerTrak, Reynolds, AutoTrader, Google AdWords, Digital Advertising Marketing & Design, Kia, SEO, Fuccillo Automotive Group, Ford, Management
 
EDINBORO UNIVERSITY OF PENNSYLVANIA
 
Business
Administration and Management
Summary
ACCOMPLISHED SALES & BUSINESS DEVELOPMENT LEADER BUILDS & LEADS STRONG, Business Administration and, Sales and Business Development, SEM, YouTube, Current
 
Company Name, Competitive",13574264,BUSINESS-DEVELOPMENT
"Principals of Leadership, Organization
and Management","Relentless, BMW, Microsoft Office 365 (Excel, State
 
Client Services, State
 
Business Development, Suppliers Development Board, Professional Experience
Company Name, Federal and State Procurement Directors, Bacon, Web - Design HTTMLÂ 
Activities, Chair - Green Technology, Chamber - Green Business, TapScan, Factiva
Desktop Publishing Software, Franchise Operator, B.A. Degree, Department of Economics
 
, Illustrator, Federal Energy Management Professional, the Prince George's Chamber of Commerce, PowerPoint, The Heart Church Ministries
 
, Salesforce.com, Organizational Leadership
 
, USA
 
Course, C-Suite Executives,, Photoshop, State",13888506,BUSINESS-DEVELOPMENT
Excel,"Promoted to Business Development Representative, Coordinated, GIS, HIPAA Privacy and Security Regulations, Education, Admitting Specialist-ER Registration, Admissions Department, Registrar, Multi-Task Management
Territory Sales, State, PowerPoint, Client Relations
File, Del Mar College, Core Qualifications
Computer, Current
 
Company Name",14055971,BUSINESS-DEVELOPMENT
Skillful,"monitoring department metrics, Current
Business Development Manager
 
Company Name, State
 
Education/Exercise Physiology, LexisNexis, Dayton, National, CT Corporation 
Primary, the Best Sales Teaming Award for the Region (2011, Coach, Olympic Development Program, LexisNexis 
Secured, Business Development, Account, Professional Athlete (Soccer Player, Columbus Xoggz, Wright State University, CT of Wolters Kluwer, CT Corporation 
FY, USISL",14070138,BUSINESS-DEVELOPMENT
"Associate of Science
 
:
 
Respiratory Therapy
 
,
 
","KIA, Facilitated, the Sales Management and Territorial Marketing Industries, CT, BUSINESS DEVELOPMENT CENTER, Leadership, Team Management, Communication and Planning and Organization of Administrative Duties, 08/2013
 
Company Name, Professional Summary
Dynamic Marketing, 03/2017
 
Company Name, Loss Prevention, 05/2016
 
Company Name, 10/2018
 
Company Name, Business Development Center, Special Needs, 07/2014
 
Company Name, 05/2010
 
Company Name, Belden Jewelers, 12/2016
 
Company Name, 06/2012
 
Company Name, the Financial Services Department, Philanthropy, Music Education",14241621,BUSINESS-DEVELOPMENT
"MBA, Prepared, Excel, Oil","Highlights
Superior, Account & Finance, Ambrose Alli University, Preparation of journal, Nigeria
Accounting
Skills
General, Microsoft Office, Completed, GPA, Finance & Management
 
, QuickBooks, PowerPoint, MS Office Suites, FICO, State, Customer Service, 2014
 
University of Houston
 
, Current
 
Company Name, SAP",14287992,BUSINESS-DEVELOPMENT
"MBA, Retail, Risk
Assessment","MAR
 
Company Name, Detroit Public School/Eastern Michigan University, Credit Union, Wayne State University, OPERATIONS, Branch Cash Limits, Teller Managers and Branch Managers, Operational Integrity, Financial, Business Banking Events, Oracle
Discover
Experience
, the State Retail Operations, Additional Information
COMMUNITY, Develop, Organizational Studies
 
University of Michigan
 
, State
 
Organizational Studies, Regulation DD & Z, Microsoft Office Applications, State
 
Finance
Certifications
Certified Credit Union Financial Counselor, POWERPOINT, Branch Managers, Counselor, Credit, Highlights
Microsoft Office Applications *WORD, ATM Balancing, EXCEL, Retail Regional Managers & Branch Managers",14726000,BUSINESS-DEVELOPMENT
Excel,"National Sales Analyst, NCR, Safeway, Operations, Project Management
Core Accomplishments
, State
Technical Skills, Oversees, BUSINESS DEVELOPMENT
Executive Profile, Consulting, Current
 
Company Name, Sam's Club
Managed, Business Development
 
, Kroger, Supervalu,, Walmart, SAP, DIRECTOR, SalesForce.com, CPG, Sam's Club, Big Box",14752209,BUSINESS-DEVELOPMENT
"Core Accomplishments
","Salesforce.com User Council, Manage, Salesforce.com Governance Council, USA
 
GPA, Bachelor of Arts
 
: 
, Gold Club Attainment
, Gartner, French
 
University of California
 
- 
City
 
, Passionate Francophile, ExecuTrain Southwest, Current
 
Company Name, Council, ESI, Business Development, Completed, SkillRamp, Caribbean Club
Professional Experience
Senior Account Executive, State of California, Project Management
 
, Salesforce.com, ESI Business Development, Electrical Engineering, Sales / Partner, Gold Club, retention &, Brigham Young University, Bachelor of Science, The George Washington University, The BYU Marriott School of Management's Executive, List, College of Engineering, ESI International: 2011 Government Sales Contributor of, State",14825300,BUSINESS-DEVELOPMENT
"Credit Hours
Master of Arts
 
, Credit Hours","Support Enforcement and Compliance, Business Operations, State
 
Business Development Associate
 
11/2015
 
, State
 
Government and International Politics
Government and, Financial, Consumer Marketing, Risk Management, Oxford University - Mansfield College, Policy International Commerce and Policy Semester, International Trade Administration, Strong Executive Communication Skills, State
 
Liberal Arts Liberal Arts Semester, Quality Assurance, Credit Hours, U.S.Trade Policy
Development, State
 
International Commerce, Key Control Program, George Mason University, North America Steel Committee, State
 
Trade Agreements Negotioations and Compliance Intern, Northern Virginia Community College
 
, State",14861855,BUSINESS-DEVELOPMENT
Excel,"Skills
Business Development, BI, Project, Rotary
Club, Team
Player, Jun 2014
 
Company Name
New, Kaynes Technology, Rotary Club, Documentation, Data
Analytics, Transfer of Technology, BUSINESS DEVELOPMENT, Municipal
Corporations, Business Development Executive, SQL, Information Systems, Big Data Analytics, Java, Team Development, Analyzed BI, ILLUMINATI, Statistical Analysis, Sun, MS in Information Systems, Go Green, Inventory, GEORGIA STATE UNIVERSITY, Tableau
Statistical Analysis
Multiple Linear Regression
CERTIFICATION
, Municipal Corporations, Process Control, ERP, Business Intelligence, Vehicle Emission Check",14871762,BUSINESS-DEVELOPMENT
"04/1996
 
, Fortune 500","Hospital, Central Michigan University, National, Promoted to North Island Federal Credit Union's, State Bachelor of Applied Arts
 
:
 
Interior Design & Industrial Technology
 
, Sales Team, 02/2014
 
Company Name, 01/2016
 
Company Name, C-Level, GSA, Design, Project Management, 04/1996
 
Company Name, International Facilities Management Association, SAL, Steelcase, Avendra, Group Purchasing Organizations, Corporate Account Manager/ Business Development, State
Development, Total Quality Management Program ""Partner's, Global Business Development, Real Estate",14990354,BUSINESS-DEVELOPMENT
Excel,"Lebanon Valley College
B.A
 
, Power Point and Access, PBA, Penn State Harrisburg, Managed Executive Roundtable Meetings, Fundraising Committee, International Studies
 
Central Atlantic Intermediate School of Banking 
Dickinson College Indiana University of Pennsylvania
 
International
Studies
Skills
Assembly, Develop, Current
 
Company Name, the Business Retention and Expansion Program, Power Point, the Pennsylvania General Assembly, Lancaster Chamber of Commerce, Coordinated, Professional Affiliations, Political Action Committee, MBA, State
Business Retention and Expansion Program, Government Affairs, Professional Women's Forum Committee, Society Executive Committee, Microsoft Word, Business Development
 
Jan 2009, Chamber, Leadership Team of",15233524,BUSINESS-DEVELOPMENT
CRM,"Digital Marketing - Shaw Academy, Content Management, WordPress, Project Management, Image, SEO, AWeber, Company Name, Co-Schedule, Briefed VP of, B2B, Budget Planning, Regions Bank, State
Created, Coordinated, Business Development, Content Management - Shaw Academy, Drycon Carpets Nashville, BUSINESS DEVELOPMENT REP, Hubspot, PPC, Google Analytics, AdSense, MailChimp, Regions, HTML",15423153,BUSINESS-DEVELOPMENT
,"Toyota, State
Education, Microsoft, State
 
Counseling
Bachelor of Arts
 
: 
Psychology
 
Asbury College
 
City
 
, Core Strengths
Technical Sales Professional
, the Wilmore City council, Transition Sales of Accounting CS, State
 
Psychology
Skills
Accounting, Platinum Revenue Achievers Club, Results Oriented Administration, Current
 
Company Name
 
City
 
, 01/2009
 
Company Name
 
City
 
, the Presidents Club, Relational Style Motivation, Toyota Motor Company, the Culture Champion Team, K Revenue Increase, Thomson Reuters Tax, Additional Information
Limited License Professional Counselor - License, Reuters, Tax and Accounting, Commissioned, Thomson Reuters, Thomson Reuters Sales, Team Builder",15811992,BUSINESS-DEVELOPMENT
"Fortune 500, Spirit Of Generosity Award
 ","Business Administration and Management 
Interests, Ohio
 Â, 5Â 
 , GigaSpaces Technologies, MS Office
Strong, Current
 
Company Name
 
City
 
, South
Charleston First Church of Nazarene, Brand Program, Additional Information
COMMUNITY INVOLVEMENT, Certified Angus Beef Masters, 08/2017
 
Company Name
 
City
 
, Microsoft Office, Education, Education Employment, Salesforce.com, Employment and Training Department, Salesloft, Buzz Food, Global Business Development, the Kanawha Valley, Rehabilitation Facilities, South Charleston First Church of Nazarene, Active Kids, Buzz Food Service",16091352,BUSINESS-DEVELOPMENT
"MBA, Fortune 500","Relpax, NY, State
 
Business Administration
Skills
Adobe Creative Suite, Business Administration, Business Development
 
Company Name, Strategic Planning, Television, Celebrex, & Lyrica, Business
Development, Dermatology, & Gastroenterologists Conducted, Pain Management, Podiatry, Business Operations, Veritas, Dermatology, Endocrinology,, Human Resources Management, Contract Negotiation, GYN, Neurology, Newspaper, Orthopedics, Pain Management, Manage Care, State
 
Business Administration, Caduet, City of, Radio, Newspaper, NHO, Regional, Aetna, Microsoft Project, Primary Care, Microsoft Office, Quick Books Expert
, ®, Pristiq, Managed Care, Customer Relationship Management, Celebrex, Developed &, Procedure Development, Microsoft Office Suite, Baptist Health, Florida A&M University, Microsoft Project Expert
Professional, oversaw recruitment & training, Intern
 
Company Name, Neurology, Endocrinology, Orthopedics, Cigna Medicaid, & United Built, P&T, Humana, Quicken, Radio",16519708,BUSINESS-DEVELOPMENT
"Consultant, Built, Leadership","Porsche, BMW of North America Quality Assurance Workshop, Perform, BMW, Document Management, Articulate, Team Player, Forest Laboratories, Image, Current
 
Business Development Executive
 
Responsible, Conducted, Hampton University, BUSINESS DEVELOPMENT, Develop, QUALIFICATION HIGHLIGHTS Account/Territory Management Contract Negotiations Client Development/Focus Sales Analysis Strategic
, BRM, Quality Assurance, State
 
Political Science
Ricoh University, Skills
Articulate, Key Contributions Gained, Quota Attainment Business Development/Market Growth Team Leadership Consultative Sales, BMW of North America's, Key Contributions Awarded Client Advisor, III, OfficeMax, Image Management Certification",16694152,BUSINESS-DEVELOPMENT
"Fortune 1000, Fortune 100 clients.
, Excellence Award","Customer
Relationship Management, Toyota, Luxottica, Professional Summary
Highly, Windows, Network, LexisNexis, I.T.
Wellness Checks, Tri-Health, SharePoint, Dayton, Application Development, Basic, State
 
Business Development Executive
Responsible, Digital Equipment, Urbana University
 
Bachelor of Science
 
: 
Business Administration Marketing
 
, Standard Register, Greater Cincinnati Water Works, Financial, Procter and Gamble, Comair, Project Managers, Business Analysts, Intelligrated, Quota, Hilltop Basic Resources,, BUSINESS DEVELOPMENT, the Distinguished Sales Performance Club, Microsoft Gold Partner, Caterpillar, Cincinnati Financial, State
 
Account Executive, Digital, Office 365, Company Name
 
, Bell Yellow Pages, State
 
National Account, Salesforce.com, Company Name
 
City
 
, National Building Distributors, Network, Software Engineers, GPA, State
 
Executive Account, Exchange, Office, KAO, P&G, Page, MS Office, State",16846478,BUSINESS-DEVELOPMENT
,"Carree College of America, Pharmacy Technology, Pharmacology and Pharmacy
Law 
High School Diploma
 
, Call
Center Representative, Medicare, Medicaid, Healthcare, Skills
Public Relations, Data Collection, Data Entry, Documentation, Documentation, Executive Management Support, Career Overview
Career 
Overview, Business 
Development, Adaptive 
Team 
Player, Ford, Customer 
Service 
, Jul 2005
 
Company Name, Customer 
Service, California Customer 
Service",17095812,BUSINESS-DEVELOPMENT
"13.3M Pipeline / 6.8M Closed Business
SAP Q1 - Q3 2016, CRM, Core Accomplishments
Â 
","Microsoft, State
 
Business Development Specialist, BANT, State
 
Sales Optimization Specialist, Technical Background
, Microsoft Certification
Campaign Tester - Testing, C-Level, SAP Q3 - Q4 2015, Mid-Market Sales Teams, Microsoft Client, KPI, SAP CRM, BUSINESS DEVELOPMENT SPECIALIST
Professional Overview
Results, Event Recruitment - Inviting, Dell SonicWALL, SAP, the SAP Northeast, Microsoft Team Lead - Lead, State
 
Marketing Specialist, MS Office, Sales and Business Development, Internal Client Success",17115815,BUSINESS-DEVELOPMENT
Excel,"New Program, Skills
MS Office, Coordinated, GPA, Credit Counseling, Credit Union, Professional Summary
Business development/Marketing, Powerpoint, State, State
 
Business Development Executive
 
06/2010
 
, Promotion Implementation
Financial Analysis
Adept Multi-Tasker
Professional Experience
Company Name, State
 
Credit/Collections, BUSINESS DEVELOPMENT, Bronx Community College
 
, CUNY/SUNY College",17421910,BUSINESS-DEVELOPMENT
Sales Associate/Wall Paper Specialist,"Washburn Institute of Technology, CPT, State
 
Expo Design Desk Associate, VinSolutions, Forklift Certification, Training
University of Kansas
 
Interior Design
 
Bachelor's, Silver Level, State
 
Business Development Consultant
Phoned, State
 
Senior Design Consultant
Developed, General Industry Certification, Council, the faux finish clinics, KS, Safety, State
 
Interior Design
 
Bachelor of Fine Arts
 
Interior Design, Forklift, Manufacturing Processes, University of Kansas
 
City
 
, Voted Employee Committee, Manufacturing Skill Standards Council, Degree
 
Interior Design",17597372,BUSINESS-DEVELOPMENT
,"Manage, Golf Committee, CAJPA, Oversee, Business Administration, University Risk Management & Insurance Association, AGRIP, California Association of Joint Powers Authorities, Valuation, Food Service Industry Risk Management Association, Current
 
Company Name
 
City
 
, the Public Entity and, CSAM, 06/2005
 
Company Name
 
City
 
, University of Wisconsin
 
City
 
Business Administration, Microsoft Office, Public Agency Risk Management Association, PRIMA, USPAP Proficient, GASB, Profit, Governmental Risk Pools, Current
 
Company Name
Developed, Public Risk Management Association, Hawaii Successfully, Professional Affiliations
Risk Management Society (RIMS, PARMA, SACS, CBIZ Valuation Group, FIRMA Signed a Risk Pool of Southern California Cities",17602815,BUSINESS-DEVELOPMENT
"Coursework in Marketing and Public Relations
Coursework in Organization Leadership
Coursework, Budgeting and Financial Planning Â, Family","Pasadena City College
 
, BUSINESS DEVELOPMENT ADMINISTRATOR
Professional Profile
Organized, Coordinated, Microsoft Office, USA
American Bar Association Approved Certification, Applied Studies/Online
 
C. S. U. Dominguez Hills (, Organizational Behavior
Coursework, Coursework in Courts, California Real Estate, Outlook, Client and Employee Management, Excellent Customer Service Skills, Client Relations, Privileges &
Fiduciary Understanding, Probate, Legal Studies
 
, USA
Candidate, Current
 
Company Name, Business Development Administrator",17730889,BUSINESS-DEVELOPMENT
,"Home Health, Homecare, Red Cross, 12/2012
 
Company Name
 
City
 
, Sales / Area Sales, Medical Clinics and Hospitals, 09/2015
 
Company Name, Client Relations, 03/2014
 
Company Name
 
City
 
, Communicate, Eastern, Iowa Western University, Client Relations Executives, Hospice, Business Development
 
02/2015
 
, Central, 09/2002
 
Company Name
 
City
 
, Association American Parkinson's, DME, Hospice Implement, Homecare, Nebraska Nebraska Hospice and Palliative Care Association American, Provider
Relations Managers, Association Creighton University Medical Center American Quarter Horse
Association American Cancer Association End of Life Community, Nebraska Alzheimer's, Care Transition Nurses, Medicare, Nebraska American Heart Association, Nursing Facilities, Hospice and Home Health",18236085,BUSINESS-DEVELOPMENT
"CRM, State
 
Adhered","Interact with Finance & Operations, Professional Summary
Highly, Troy University, 04/2015
 
Company Name, Business Account Executive, the Wellstar Health System, Operations, TruGreen, Salesfore.com, Comcast
Business, Atlanta Hawks, W
Hotel, 11/2016
 
Company Name, Current
 
Company Name, Comcast Business, CFO, Sales Engineering, Accounting, M2M/IoT Operations, 03/2011
 
Company Name, 04/2008
 
Company Name, LG, Networx Systems, the Wellstar Health Group(over 20, Exceptional Outside Sales Representative, State, Finance",18293620,BUSINESS-DEVELOPMENT
"Budgeting, Coaching, Leadership","Business Management
 
June 2008, Forecasting, Functional, Business Development, University, Research, Customer Relationship Management, healthcare clinics, University of Phoenix
 
, State
 
Business Management
Skills, Current
 
Company Name",18311419,BUSINESS-DEVELOPMENT
,"State
Research, Microsoft Office, University of California Irvine
 
- 
City
 
, Skills
Agency, Education
Social Ecology, Environmental Analysis & Design
 
, 2003
 
Food & Drug Administration, USA
Military, Social Ecology, State
Environmental Specialist, Current
 
Company Name",18757174,BUSINESS-DEVELOPMENT
,"Maracana Stadium World Cup, Belgium
 , Global Business Development
 
06/2015
 
, Japan
 , Sales Coordinator
 
01/1997
 
, Colombia
 , 06/2015
 
Company Name
 
City
 
, Qatar
 , Montparnasse, Germany
 , Current
 
Company Name
 
City
 
, University of Minnesota, UAE, OEM, USA
 
Minors, Saudi Arabia
 , USA
 , DIRECTOR, Macau
 , Carlson School of Management
 
City
 
, Highlights
Cross, Marks, Russia
 , Intercontinental
 , Brazil
 , U.A.E
 ",18937778,BUSINESS-DEVELOPMENT
Publication,"Dyes and Intermediates, Institute of Chemical Technology, Letters, Institute of Chemical
Technology Research, Bachelor of Technology
 
, MS Office Suite, Dreamweaver, Programming, EDITDA, Macromedia Flash, Tetrahedron Letters, Organic Chemistry, Skills
Dreamweaver, Programming Skills - HTML, Thesis Option, HTML",19557384,BUSINESS-DEVELOPMENT
,"Culinary Arts
Coursework in Business and Restaurant Management 
CURLINARY, Culinary Arts, the Food and Beverage, 04/2013
 
Company Name, State
Collaborated, 08/2013
 
Company Name, Current
 
Company Name",19738730,BUSINESS-DEVELOPMENT
"CRM-Zoho, CRM - Zoho
Excels","University Park Association, In-Kind Donations, Microsoft, Word, Excel, Centralized Showing Services, The Junior League, Barre Instructor, the Sub List, Symphony League, Event Planning, Alcohol Abuse Campaign, Develop, Prepare, Current
 
Company Name, the Dallas Council on Drug, Microsoft Office, the Business Development, Skills, Owner/Interior Designer, Professional Experience
Business development, North Texas Real Estate Information Services
Proficient, Presbyterian Hospital Weekly, Green House Treatment Center
The Bridge Homeless Shelter, Smart Locating Apartment Data
Proficient, Birmingham Southern College, the Customer Relationship Management Software, Realtor
Community Involvement
Fundraising Co - Chair, State",20317319,BUSINESS-DEVELOPMENT
